,datetime,description,icon
0,2023-04-24,Partly cloudy throughout the day with early morning rain.,rain
1,2023-04-25,Partly cloudy throughout the day with late afternoon rain.,rain
2,2023-04-26,Partly cloudy throughout the day with late afternoon rain.,rain
3,2023-04-27,Partly cloudy throughout the day with rain.,rain
4,2023-04-28,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-04-29,Cloudy skies throughout the day with late afternoon rain.,rain
6,2023-04-30,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
7,2023-05-01,Clearing in the afternoon with early morning rain.,rain
