,datetime,tempmin,temp,tempmax
0,2023-04-24,8.3,9.9,12.3
1,2023-04-25,7.8,10.0,13.4
2,2023-04-26,7.8,9.1,10.8
3,2023-04-27,7.9,10.2,12.9
4,2023-04-28,6.6,10.4,13.9
5,2023-04-29,8.9,9.7,11.2
6,2023-04-30,9.5,11.2,13.4
7,2023-05-01,11.1,14.6,16.2
