,datetime,tempmin,temp,tempmax
0,2023-04-17,8.4,9.3,11.2
1,2023-04-18,8.9,11.9,13.8
2,2023-04-19,7.2,9.3,11.1
3,2023-04-20,5.6,9.2,13.5
4,2023-04-21,7.7,8.8,10.1
5,2023-04-22,8.2,8.9,9.5
6,2023-04-23,8.9,9.6,10.7
7,2023-04-24,8.3,9.9,12.3
