,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-04-17,11.2,8.4,9.3,11.2,5.6,7.7,9.2,98.9,2.094,100,33.33,rain,0,0,24.1,22.0,45.3,1004.8,100.0,2.4,42.1,3.5,2,10,2023-04-17T06:00:26,2023-04-17T19:28:00,0.91,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2023-04-18,13.8,8.9,11.9,13.8,7.1,11.5,3.7,61.1,0.0,0,0.0,,0,0,51.4,33.2,247.1,1004.9,70.7,15.8,167.2,14.5,7,10,2023-04-18T05:58:51,2023-04-18T19:29:08,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2023-04-19,11.1,7.2,9.3,11.1,3.8,6.7,-1.7,46.2,0.0,0,0.0,,0,0,49.9,35.2,278.9,1014.8,86.3,16.0,132.4,11.5,7,10,2023-04-19T05:57:17,2023-04-19T19:30:16,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2023-04-20,13.5,5.6,9.2,13.5,2.1,7.5,-0.4,52.3,0.0,0,0.0,,0,0,33.5,27.1,287.8,1021.3,43.1,16.0,250.5,21.6,8,10,2023-04-20T05:55:44,2023-04-20T19:31:23,0.0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2023-04-21,10.1,7.7,8.8,10.1,4.3,6.9,3.9,71.4,0.0,0,0.0,,0,0,31.7,33.1,84.0,1021.7,52.8,16.0,239.8,20.7,7,10,2023-04-21T05:54:12,2023-04-21T19:32:31,0.05,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2023-04-22,9.5,8.2,8.9,6.4,5.1,5.9,6.0,82.4,0.0,0,0.0,,0,0,25.9,29.1,84.7,1020.4,94.7,15.7,64.4,5.6,2,10,2023-04-22T05:52:41,2023-04-22T19:33:38,0.08,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2023-04-23,10.7,8.9,9.6,10.7,5.1,7.1,7.8,88.8,18.454,100,95.83,rain,0,0,40.7,32.9,100.5,1014.9,100.0,10.1,26.5,2.1,1,10,2023-04-23T05:51:11,2023-04-23T19:34:46,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2023-04-24,12.3,8.3,9.9,12.3,5.6,8.8,7.1,83.4,0.487,100,4.17,rain,0,0,18.4,27.3,36.4,1015.9,84.8,14.4,116.1,9.8,6,10,2023-04-24T05:49:41,2023-04-24T19:35:53,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
