,datetime,description,icon
0,2023-04-17,Cloudy skies throughout the day with rain.,rain
1,2023-04-18,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-04-19,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-04-20,Clearing in the afternoon.,partly-cloudy-day
4,2023-04-21,Clearing in the afternoon.,partly-cloudy-day
5,2023-04-22,Cloudy skies throughout the day.,cloudy
6,2023-04-23,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
7,2023-04-24,Partly cloudy throughout the day with early morning rain.,rain
