,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-04-03,11.2,-0.2,5.9,11.2,-2.9,3.8,-7.2,39.5,0.0,0,0.0,,0,0,53.6,40.1,207.1,1019.1,40.5,16.0,205.1,17.7,7,10,2023-04-03T06:23:36,2023-04-03T19:12:13,0.42,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2023-04-04,11.9,6.1,8.8,11.9,3.8,7.6,5.2,78.2,0.0,0,0.0,,0,0,29.5,22.1,79.7,1019.3,80.8,16.0,166.6,14.3,7,10,2023-04-04T06:21:54,2023-04-04T19:13:21,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2023-04-05,9.4,3.9,6.3,8.0,0.0,2.5,2.2,76.0,0.0,0,0.0,,0,0,44.5,36.8,60.6,1027.4,100.0,14.3,57.6,4.8,2,10,2023-04-05T06:20:12,2023-04-05T19:14:29,0.48,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2023-04-06,13.4,3.9,6.6,13.4,1.1,5.1,5.1,90.9,0.207,100,8.33,rain,0,0,24.1,18.2,60.7,1020.4,92.6,8.2,122.6,10.5,7,10,2023-04-06T06:18:30,2023-04-06T19:15:36,0.5,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2023-04-07,13.9,6.2,10.8,13.9,2.3,9.5,-5.7,31.4,0.0,0,0.0,,0,0,60.4,42.4,286.6,1022.5,91.7,16.0,161.8,14.0,6,10,2023-04-07T06:16:49,2023-04-07T19:16:44,0.55,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2023-04-08,10.0,1.1,5.5,10.0,-3.8,2.3,-11.0,31.6,0.0,0,0.0,,0,0,37.0,31.3,323.1,1030.4,54.1,16.0,220.0,19.0,8,10,2023-04-08T06:15:08,2023-04-08T19:17:52,0.59,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2023-04-09,8.9,2.0,5.8,6.2,-0.8,2.8,-5.6,44.7,0.0,0,0.0,,0,0,29.5,28.9,119.1,1032.6,20.6,16.0,222.1,19.0,7,10,2023-04-09T06:13:28,2023-04-09T19:18:59,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2023-04-10,15.7,3.2,9.2,15.7,-0.3,8.0,-2.1,47.3,0.0,0,0.0,,0,0,27.7,23.8,200.9,1028.1,13.9,16.0,230.8,19.9,7,10,2023-04-10T06:11:48,2023-04-10T19:20:07,0.66,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
