,datetime,description,icon
0,2023-04-10,Clear conditions throughout the day.,clear-day
1,2023-04-11,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-04-12,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-04-13,Clear conditions throughout the day.,clear-day
4,2023-04-14,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-04-15,Partly cloudy throughout the day.,partly-cloudy-day
6,2023-04-16,Cloudy skies throughout the day.,cloudy
7,2023-04-17,Cloudy skies throughout the day with rain.,rain
