,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-04-10,15.7,3.2,9.2,15.7,-0.3,8.0,-2.1,47.3,0.0,0,0.0,,,,,23.8,200.9,1028.1,13.9,16.0,420.8,19.7,7,,2023-04-10T06:11:48,2023-04-10T19:20:07,0.66,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2023-04-11,23.9,8.2,16.6,23.9,5.3,16.0,-3.0,29.6,0.0,0,0.0,,,,53.0,33.3,243.7,1015.7,70.6,16.0,365.7,18.3,7,,2023-04-11T06:10:08,2023-04-11T19:21:14,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2023-04-12,22.3,12.9,18.6,22.3,12.9,18.6,0.5,30.5,0.0,0,0.0,,,,57.4,33.3,300.3,1006.8,87.4,16.0,331.2,16.8,9,,2023-04-12T06:08:30,2023-04-12T19:22:22,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2023-04-13,31.2,9.3,20.7,29.3,8.3,20.2,6.4,42.6,0.0,0,0.0,,0.0,0.0,35.4,20.3,212.6,1008.4,12.5,16.0,296.3,19.2,7,10.0,2023-04-13T06:06:52,2023-04-13T19:23:30,0.75,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2023-04-14,27.9,10.1,20.2,27.1,10.1,20.1,9.1,51.9,0.0,0,0.0,,0.0,0.0,42.5,29.3,62.3,1010.6,66.5,16.0,202.3,17.5,7,10.0,2023-04-14T06:05:14,2023-04-14T19:24:37,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2023-04-15,13.6,8.8,10.8,13.6,6.4,9.8,8.3,84.9,0.0,0,0.0,,0.0,0.0,18.4,22.1,54.7,1015.0,89.4,14.3,201.9,17.4,9,10.0,2023-04-15T06:03:37,2023-04-15T19:25:45,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2023-04-16,12.3,8.9,10.3,12.3,6.8,9.8,9.2,93.2,0.0,0,0.0,,0.0,0.0,18.4,20.2,50.5,1012.2,100.0,6.6,89.9,7.7,4,10.0,2023-04-16T06:02:01,2023-04-16T19:26:53,0.87,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2023-04-17,11.2,8.4,9.3,11.2,5.6,7.7,9.2,98.9,2.094,100,33.33,rain,0.0,0.0,24.1,22.0,45.3,1004.8,100.0,2.4,42.1,3.5,2,10.0,2023-04-17T06:00:26,2023-04-17T19:28:00,0.91,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
