,datetime,tempmin,temp,tempmax
0,2023-04-10,3.2,9.2,15.7
1,2023-04-11,8.2,16.6,23.9
2,2023-04-12,12.9,18.6,22.3
3,2023-04-13,9.3,20.7,31.2
4,2023-04-14,10.1,20.2,27.9
5,2023-04-15,8.8,10.8,13.6
6,2023-04-16,8.9,10.3,12.3
7,2023-04-17,8.4,9.3,11.2
